2016-01-17 11:17:22: Loss after num_examples_seen=350000 epoch=70: 6.454251
2016-01-17 11:27:21: Loss after num_examples_seen=355000 epoch=71: 6.449337
2016-01-17 11:36:38: Loss after num_examples_seen=360000 epoch=72: 6.446444
2016-01-17 11:46:21: Loss after num_examples_seen=365000 epoch=73: 6.443262
2016-01-17 11:56:17: Loss after num_examples_seen=370000 epoch=74: 6.440447
2016-01-17 12:05:44: Loss after num_examples_seen=375000 epoch=75: 6.436850
2016-01-17 12:15:29: Loss after num_examples_seen=380000 epoch=76: 6.433064
2016-01-17 12:25:20: Loss after num_examples_seen=385000 epoch=77: 6.431402
2016-01-17 12:34:55: Loss after num_examples_seen=390000 epoch=78: 6.426450
2016-01-17 12:44:33: Loss after num_examples_seen=395000 epoch=79: 6.423960
2016-01-17 12:54:29: Loss after num_examples_seen=400000 epoch=80: 6.421036
2016-01-17 13:04:02: Loss after num_examples_seen=405000 epoch=81: 6.418048
2016-01-17 13:13:45: Loss after num_examples_seen=410000 epoch=82: 6.416170
2016-01-17 13:23:48: Loss after num_examples_seen=415000 epoch=83: 6.413100
2016-01-17 13:33:19: Loss after num_examples_seen=420000 epoch=84: 6.412240
2016-01-17 13:42:58: Loss after num_examples_seen=425000 epoch=85: 6.420042
2016-01-17 13:53:01: Loss after num_examples_seen=430000 epoch=86: 6.392031
2016-01-17 14:02:36: Loss after num_examples_seen=435000 epoch=87: 6.389656
2016-01-17 14:12:05: Loss after num_examples_seen=440000 epoch=88: 6.386668
2016-01-17 14:21:55: Loss after num_examples_seen=445000 epoch=89: 6.384545
2016-01-17 14:31:38: Loss after num_examples_seen=450000 epoch=90: 6.383444
2016-01-17 14:41:05: Loss after num_examples_seen=455000 epoch=91: 6.383328
2016-01-17 14:50:55: Loss after num_examples_seen=460000 epoch=92: 6.387008
2016-01-17 15:00:42: Loss after num_examples_seen=465000 epoch=93: 6.366328
2016-01-17 15:10:05: Loss after num_examples_seen=470000 epoch=94: 6.364715
2016-01-17 15:19:55: Loss after num_examples_seen=475000 epoch=95: 6.363160
2016-01-17 15:29:46: Loss after num_examples_seen=480000 epoch=96: 6.361815
2016-01-17 15:39:06: Loss after num_examples_seen=485000 epoch=97: 6.360549
2016-01-17 15:48:55: Loss after num_examples_seen=490000 epoch=98: 6.359336
2016-01-17 15:58:46: Loss after num_examples_seen=495000 epoch=99: 6.358293
