date,rainfall_morning,rainfall_afternoon,rainfall_night,min_temperature,max_temperature,wind_force
2014-9-1,13,7.0,1,24,31,3.0
2014-9-2,1,4.0,7,23,32,3.0
2014-9-3,7,4.0,1,21,26,3.5
2014-9-4,1,1,1,21,31,3.0
2014-9-5,1,1,1,23,31,3.0
2014-9-6,1,1,1,23,23,3.0
2014-9-7,1,1,1,24,31,3.0
2014-9-8,13,13,13,23,31,3.0
2014-9-9,3,3,3,24,30,3.0
2014-9-10,13,8.0,3,23,28,3.0
2014-9-11,3,3,3,23,28,3.0
2014-9-12,13,13,13,24,31,3.0
2014-9-13,13,8.0,3,23,28,3.33333333333
2014-9-14,3,3.5,4,22,27,3.0
2014-9-15,3,3,3,22,27,3.0
2014-9-16,3,3,3,22,28,3.0
2014-9-17,1,1,1,22,32,3.0
2014-9-18,7,7,7,19,24,3.5
2014-9-19,7,10.0,13,17,20,3.5
2014-9-20,3,8.0,13,19,25,3.5
2014-9-21,13,10.0,7,20,25,4.5
2014-9-22,7,9.0,11,20,24,5.5
2014-9-23,13,8.0,3,21,25,5.5
2014-9-24,3,2.0,1,21,28,3.0
2014-9-25,1,2.0,3,21,29,3.0
2014-9-26,3,2.0,1,20,29,3.0
2014-9-27,1,1,1,22,31,3.0
2014-9-28,1,1,1,24,32.5,3.0
2014-9-29,4,4,4,20,20,3.5
2014-9-30,4,3.5,3,17,23,4.0
2014-10-1,1,1,1,17,24,3.33333333333
2014-10-2,1,1,1,18,27,3.0
2014-10-3,1,1.5,2,17,26,3.0
2014-10-4,2,1.5,1,17,26,3.0
2014-10-5,1,1,1,18,26,3.0
2014-10-6,1,1.5,2,15,25,3.0
2014-10-7,1,1.5,2,14,24,3.0
2014-10-8,2,2,2,16,25,3.0
2014-10-9,1,1,1,18,26,3.0
2014-10-10,1,2.0,3,18,24,3.5
2014-10-11,3,3,3,19,25,3.0
2014-10-12,3,2.0,1,16,25,5.5
2014-10-13,1,1.5,2,12,22,4.5
2014-10-14,2,2,2,11,22,3.0
2014-10-15,2,2,2,12,24,3.0
2014-10-16,1,1.5,2,14,25,3.0
2014-10-17,1,1,1,17,25,3.0
2014-10-18,1,1.5,2,18,27,3.0
2014-10-19,2,2,2,18,28,3.0
2014-10-20,2,1.5,1,19,31,3.0
2014-10-21,13,8.0,3,15,27,4.5
2014-10-22,1,1.5,2,15,24,3.5
2014-10-23,2,2,2,14,25,3.0
2014-10-24,1,1.5,2,15,25,3.0
2014-10-25,1,1.5,2,16,28,3.0
2014-10-26,1,1,1,17,28,3.0
2014-10-27,3,2.0,1,14,24,4.5
2014-10-28,1,1,1,16,22,4.5
2014-10-29,13,13,13,16,22,3.0
2014-10-30,13,13,13,18,21,3.0
2014-10-31,13,8.5,4,18,23,3.0
2014-11-1,13,8.5,4,14,22,3.0
2014-11-2,1,1,1,9,19,5.5
2014-11-3,2,2,2,8,18,3.0
2014-11-4,2,2,2,9,19,3.0
2014-11-5,1,2.0,3,15,21,3.0
2014-11-6,1,1,1,12,21,3.5
2014-11-7,1,2.5,4,13,19,3.0
2014-11-8,13,8.0,3,11,15,3.0
2014-11-9,3,3,3,11,16,3.0
2014-11-10,3,2.0,1,11,16,3.0
2014-11-11,3,3,3,11,18,3.0
2014-11-12,1,1,1,8,19,4.5
2014-11-13,1,1,1,5,16,3.0
2014-11-14,2,2,2,7,7,3.0
2014-11-15,1,2.5,4,12,18,3.0
2014-11-16,3,2.0,1,9,16,3.5
2014-11-17,1,1.5,2,7,16,3.5
2014-11-18,2,1.5,1,7,16,3.0
2014-11-19,3,3,3,8,16,3.0
2014-11-20,2,1.5,1,10,19,3.0
2014-11-21,1,2.0,3,13,22,3.0
2014-11-22,1,1,1,14,22,3.0
2014-11-23,1,2.0,3,17,23,3.0
2014-11-24,13,8.5,4,12,21,3.5
2014-11-25,4,4,4,10,14,3.5
2014-11-26,1,1,1,9,17,3.0
2014-11-27,4,4,4,14,14,3.0
2014-11-28,3,3.5,4,12,18,3.0
2014-11-29,4,4,4,14,17,3.5
2014-11-30,4,3.5,3,6,16,5.5
2014-12-1,1,1.5,2,1,11,5.5
2014-12-2,2,1.5,1,2,7,3.0
2014-12-3,3,3.5,4,3,9,3.0
2014-12-4,1,1,1,2,8,3.5
2014-12-5,2,2,2,-1,10,3.0
2014-12-6,2,1.5,1,3,11,3.0
2014-12-7,1,1,1,3,3,4.5
2014-12-8,1,1.5,2,3,12,3.5
2014-12-9,1,2.0,3,6,12,3.0
2014-12-10,4,4,4,5,13,3.0
2014-12-11,3,3,3,1.2,8.5,4.0
2014-12-12,1,1.5,2,-1,9,3.5
2014-12-13,2,2,2,0,10,3.0
2014-12-14,2,2,2,2,12,3.0
2014-12-15,3,3,3,1,1,5.5
2014-12-16,1,1.5,2,-2,7,5.5
2014-12-17,2,2,2,-2,9,4.5
2014-12-18,2,1.5,1,3,10,3.0
2014-12-19,3,2.0,1,1,11,3.0
2014-12-20,2,2,2,0,10,4.5
2014-12-21,1,1,1,-2,8,4.5
2014-12-22,2,2,2,0,9,3.5
2014-12-23,1,1.5,2,3,13,3.0
2014-12-24,1,1.5,2,3,14,3.5
2014-12-25,1,2.0,3,3,10,3.5
2014-12-26,1,1,1,4,4,3.0
2014-12-27,1,2.0,3,5,12,3.0
2014-12-28,1,1,1,3,11,3.0
2014-12-29,2,2,2,5,16,3.0
2014-12-30,2,2,2,4,17,3.0
2014-12-31,1,1,1,-1,14,6.5
2015-1-1,2,2,2,-2,7,4.0
2015-1-2,2,2,2,0,9,3.0
2015-1-3,1,1.5,2,5,14,3.0
2015-1-4,2,2,2,6,19,3.0
2015-1-5,1,2.0,3,4,21,3.0
2015-1-6,4,6.0,8,1,9,4.5
2015-1-7,1,1,1,-1,9,3.0
2015-1-8,2,2,2,0,10,3.0
2015-1-9,2,1.5,1,2,12,3.0
2015-1-10,1,1,1,4,13,3.0
2015-1-11,2,2,2,3,16,3.0
2015-1-12,3,3.5,4,5,10,3.0
2015-1-13,4,5.5,7,5,8,3.0
2015-1-14,3,3,3,5,5,3.5
2015-1-15,3,2.0,1,3,11,3.0
2015-1-16,1,1.5,2,3,12,3.5
2015-1-17,1,1,1,2,10,3.0
2015-1-18,1,1,1,2,10,3.0
2015-1-19,2,1.5,1,3,13,3.0
2015-1-20,4,4,4,7,12,3.0
2015-1-21,1,1,1,2,17,3.0
2015-1-22,2,2,2,0,0,3.0
2015-1-23,2,1.5,1,3,14,3.0
2015-1-24,2,3.0,4,10,19,3.0
2015-1-25,3,3.5,4,8,15,3.0
2015-1-26,3,3.5,4,5,13,3.0
2015-1-27,4,6.0,8,1,10,4.5
2015-1-28,8,6.0,4,2,5,3.5
2015-1-29,6,7.0,8,2,5,3.0
2015-1-30,3,3,3,-1,5,4.5
2015-1-31,1,2.0,3,2,6,3.5
2015-2-1,8,6.0,4,3,6,3.5
2015-2-2,4,4,4,2,5,3.0
2015-2-3,4,4,4,4,4,3.0
2015-2-4,1,1.5,2,0,10,3.5
2015-2-5,2,2,2,-1,10,3.5
2015-2-6,1,1,1,1,11,3.0
2015-2-7,2,2.5,3,2,12,3.0
2015-2-8,1,1,1,-1,8,4.5
2015-2-9,2,2,2,-2,8,3.0
2015-2-10,1,1,1,2,12,3.0
2015-2-11,2,2,2,4,4,4.5
2015-2-12,2,2,2,5,17,3.0
2015-2-13,2,2,2,5,19,3.0
2015-2-14,4,4,4,13,13,3.0
2015-2-15,4,3.5,3,12,19,3.0
2015-2-16,1,1,1,6,18,3.0
2015-2-17,1,1,1,5,16,3.0
2015-2-18,2,2,2,3,3,3.0
2015-2-19,1,2.5,4,6,12,3.0
2015-2-20,4,5.5,7,9,13,3.0
2015-2-21,4,3.5,3,7,12,3.0
2015-2-22,4,4,4,6,13,3.0
2015-2-23,4,4,4,7,9,3.0
2015-2-24,3,3.5,4,8,12,3.0
2015-2-25,4,4,4,7,11,3.0
2015-2-26,4,4,4,6,11,3.0
2015-2-27,7,9.0,11,4,8,3.5
2015-2-28,11,7.5,4,3,7,3.5
2015-3-1,1,1.5,2,3,10,3.5
2015-3-2,2,3.0,4,7,14,3.0
2015-3-3,3,3,3,3,15,4.5
2015-3-4,3,5.5,8,1,7,3.5
2015-3-5,18,13.0,8,3,4,3.0
2015-3-6,3,3,3,3,7,3.0
2015-3-7,3,3.5,4,5,11,3.0
2015-3-8,4,4,4,6,10,3.0
2015-3-9,3,3,3,3,13,4.5
2015-3-10,1,1,1,3,9,3.5
2015-3-11,1,2.0,3,5,13,3.0
2015-3-12,2,2,2,7,7,3.0
2015-3-13,2,1.5,1,10,23,3.0
2015-3-14,7,7,7,9,15,3.0
2015-3-15,13,9.5,6,10,15,3.0
2015-3-16,3,2.0,1,13,18,3.0
2015-3-17,13,14.0,15,17,27,3.0
2015-3-18,13,10.0,7,12,24,3.0
2015-3-19,3,3.5,4,11,17,3.0
2015-3-20,6,5.0,4,11,14,3.0
2015-3-21,1,1,1,9,19,3.0
2015-3-22,2,1.5,1,8,20,3.0
2015-3-23,3,2.0,1,6,15,3.0
2015-3-24,2,2,2,7,17,3.0
2015-3-25,1,1.5,2,8,18,3.5
2015-3-26,13,13,13,10,18,3.0
2015-3-27,3,3,3,9,16,3.5
2015-3-28,2,2,2,12,22,3.0
2015-3-29,1,4.0,7,14,26,3.0
2015-3-30,7,4.0,1,17,19,3.0
2015-3-31,1,1,1,20,30,3.0
2015-4-1,1,1,1,21,31,3.0
2015-4-2,15,11.0,7,17,35,3.5
2015-4-3,13,8.0,3,15,19,3.5
2015-4-4,13,13,13,16,23,3.0
2015-4-5,7,7,7,10,10,4.5
2015-4-6,7,7,7,6,13,5.5
2015-4-7,7,5.5,4,4,9,4.5
2015-4-8,1,1,1,6,14,3.5
2015-4-9,3,3,3,9,9,3.0
2015-4-10,1,1,1,9,17,3.0
2015-4-11,1,2.0,3,10,20,3.0
2015-4-12,1,7.0,13,11,23,3.0
2015-4-13,1,2.0,3,8,19,4.5
2015-4-14,1,1.5,2,10,20,4.5
2015-4-15,1,2.0,3,15,24,4.5
2015-4-16,1,1,1,13,26,3.5
2015-4-17,1,1,1,17,27,3.33333333333
2015-4-18,13,10.0,7,20,27,3.0
2015-4-19,13,12.0,11,13,26,4.0
2015-4-20,1,1,1,9,9,3.5
2015-4-21,2,2,2,10,21,3.33333333333
2015-4-22,2,2,2,13,13,3.0
2015-4-23,1,1,1,14,26,3.0
2015-4-24,1,1,1,13,13,3.0
2015-4-25,2,2,2,15,15,3.0
2015-4-26,1,1,1,16,16,3.5
2015-4-27,1,1,1,19,19,3.0
2015-4-28,15,15,15,19,19,3.5
2015-4-29,1,1,1,17,17,3.5
2015-4-30,2,2,2,15,15,3.0
2015-5-1,7,7,7,19,19,3.0
2015-5-2,3,3,3,16,16,3.0
2015-5-3,1,1,1,17,17,3.0
2015-5-4,13,13,13,15,15,3.0
2015-5-5,13,13,13,17,17,3.5
2015-5-6,1,1,1,18,18,3.0
2015-5-7,1,1,1,19,19,3.0
2015-5-8,5,5,5,18,18,3.5
2015-5-9,1,1,1,16,16,3.5
2015-5-10,13,13,13,17,17,3.5
2015-5-11,4,4,4,13,13,4.5
2015-5-12,2,2,2,14,14,3.0
2015-5-13,13,13,13,22,22,3.0
2015-5-14,13,13,13,21,21,3.5
2015-5-15,21,21,21,18,18,3.5
2015-5-16,4,4,4,16,16,3.0
2015-5-17,13,13,13,21,21,3.0
2015-5-18,7,5.0,3,20,26,3.0
2015-5-19,1,1,1,20,20,3.0
2015-5-20,1,1,1,15,15,3.5
2015-5-21,2,2,2,14,14,3.0
2015-5-22,1,1,1,18,18,3.5
2015-5-23,3,3,3,19,19,3.0
2015-5-24,1,1,1,18,18,3.0
2015-5-25,1,1,1,19,19,3.0
2015-5-26,3,3,3,20,20,3.5
2015-5-27,13,13,13,21,21,3.0
2015-5-28,13,13,13,22,22,3.0
2015-5-29,7,7,7,22,22,3.0
2015-5-30,3,3,3,20,20,3.0
2015-5-31,1,1,1,20,20,3.0
2015-6-1,13,13,13,24,24,3.0
2015-6-2,11,11,11,21,21,3.0
2015-6-3,4,4,4,19,19,3.0
2015-6-4,13,13,13,18,18,3.0
2015-6-5,1,1,1,19,29,3.0
2015-6-6,1,2.0,3,21,31.5,3.0
2015-6-7,7,7,7,21,21,3.0
2015-6-8,7,7,7,20,20,3.0
2015-6-9,7,7,7,20,23,3.0
2015-6-10,13,13,13,23,27.5,3.0
2015-6-11,1,1,1,23.5,31.5,3.33333333333
2015-6-12,1,2.0,3,22,33,3.0
2015-6-13,3,8.0,13,22,31,3.0
2015-6-14,7,7,7,22,25,3.5
2015-6-15,13,13,13,23,23,3.0
2015-6-16,7,10.0,13,23,29,3.0
2015-6-17,21,21,21,21,21,3.0
2015-6-18,7,5.0,3,20,24,3.0
2015-6-19,1,1,1,21,29,3.0
2015-6-20,1,1,1,22,22,3.0
2015-6-21,13,10.0,7,22,27,3.0
2015-6-22,3,3,3,21,21,3.0
2015-6-23,3,2.0,1,24,31.5,3.0
2015-6-24,15,15,15,26,26,3.0
2015-6-25,1,1,1,27,35.5,3.0
2015-6-26,15,14.0,13,25,32,3.0
2015-6-27,15,14.0,13,25.5,32.5,3.0
2015-6-28,13,8.0,3,23,27.5,3.0
2015-6-29,1,1,1,25,25,3.0
2015-6-30,1,8.0,15,23,35,3.0
2015-7-1,3,3,3,21,21,3.0
2015-7-2,1,2.0,3,21,29,3.0
2015-7-3,3,2.0,1,22.5,29.5,3.0
2015-7-4,13,13,13,18,18,3.0
2015-7-5,7,7,7,18,21,3.0
2015-7-6,7,10.0,13,18.5,20.5,3.0
2015-7-7,13,13,13,19,21,3.0
2015-7-8,4,4,4,21,21,3.5
2015-7-9,13,13,13,24,28,3.5
2015-7-10,7,6.0,5,23,25,7.0
2015-7-11,16,13.5,11,24,26,7.66666666667
2015-7-12,3,2.0,1,24,30,4.5
2015-7-13,2,2,2,25,25,3.0
2015-7-14,2,1.5,1,24,35.5,3.0
2015-7-15,1,1,1,24,24,3.0
2015-7-16,1,2.0,3,24,31,3.0
2015-7-17,15,15,15,25,25,3.0
2015-7-18,15,14.0,13,25,31,3.0
2015-7-19,3,2.0,1,25,31,3.0
2015-7-20,3,3,3,25,25,3.0
2015-7-21,13,13,13,25,25,3.0
2015-7-22,13,13,13,25,25,3.0
2015-7-23,15,15,15,26,32,3.0
2015-7-24,15,9.0,3,26,33.5,3.0
2015-7-25,1,1,1,26,26,3.0
2015-7-26,15,8.5,2,26,35,3.0
2015-7-27,2,2,2,27,37.5,3.0
2015-7-28,2,2,2,27,27,3.0
2015-7-29,2,2,2,27,27,3.0
2015-7-30,1,1,1,26,26,3.0
2015-7-31,2,1.5,1,27,37,3.0
2015-8-1,2,2,2,27.5,37.5,3.0
2015-8-2,2,2,2,27,27,3.0
2015-8-3,2,2,2,28,28,3.0
2015-8-4,2,2,2,28,39,3.0
2015-8-5,2,2,2,27,27,3.0
2015-8-6,2,2,2,26,26,3.0
2015-8-7,13,13,13,26,26,3.5
2015-8-8,7,7,7,26,31,5.5
2015-8-9,7,11.0,15,26,30,5.5
2015-8-10,5,9.0,13,26,30,5.5
2015-8-11,13,13,13,25,31,4.0
2015-8-12,1,1,1,24,24,3.0
2015-8-13,15,8.0,1,24,30,3.0
2015-8-14,3,3,3,24,24,3.0
2015-8-15,15,14.0,13,25,30,3.0
2015-8-16,13,8.0,3,24,30,3.0
2015-8-17,1,1,1,24,24,3.0
2015-8-18,1,1,1,24,32,3.0
2015-8-19,1,1,1,24,32,3.0
2015-8-20,7,6.0,5,24.5,33,3.33333333333
2015-8-21,7,7,7,23,23,3.0
2015-8-22,7,7,7,23,26,3.0
2015-8-23,13,13,13,23,26,5.5
2015-8-24,3,3,3,22,22,4.5
2015-8-25,1,1,1,21,29,3.33333333333
2015-8-26,1,1,1,22,22,3.0
2015-8-27,1,1,1,22,22,3.0
2015-8-28,1,1,1,22,22,3.0
2015-8-29,1,1,1,22,31,3.0
2015-8-30,1,1,1,22,31,3.0
2015-8-31,1,1,1,22,31,3.0
2015-9-1,1,1,1,23,32,3.0
2015-9-2,1,1,1,22,22,3.0
2015-9-3,1,1,1,23,32,3.0
2015-9-4,13,13,13,25,32,3.0
2015-9-5,7,10.0,13,24,29,3.0
2015-9-6,1,1,1,22,29,3.33333333333
2015-9-7,3,3,3,21,21,3.5
2015-9-8,1,1,1,21,21,3.0
2015-9-9,1,1,1,20,20,3.0
2015-9-10,2,2,2,20,20,3.0
2015-9-11,1,1,1,21,21,3.0
2015-9-12,3,3,3,17,17,3.5
2015-9-13,1,1,1,18,18,3.0
2015-9-14,4,4,4,19,19,3.0
2015-9-15,3,3,3,17,17,3.5
2015-9-16,1,1.5,2,19,26,3.5
2015-9-17,1,1,1,18,18,3.0
2015-9-18,1,1,1,19,19,3.0
2015-9-19,1,1,1,19,19,3.0
2015-9-20,3,3,3,19,19,3.0
2015-9-21,3,3,3,20,20,3.0
2015-9-22,13,13,13,22,22,3.0
2015-9-23,3,3,3,20,20,3.0
2015-9-24,13,13,13,20,20,3.0
2015-9-25,3,3,3,20,20,3.0
2015-9-26,2,2,2,19,19,3.0
2015-9-27,2,2,2,19,19,3.0
2015-9-28,13,13,13,21,21,5.5
2015-9-29,7,7,7,22,22,3.5
2015-9-30,7,7,7,24,24,3.5
2015-10-1,3,3,3,15,15,4.5
2015-10-2,2,2,2,15,15,3.0
2015-10-3,1,1,1,19,19,3.0
2015-10-4,4,4,4,19,19,3.0
2015-10-5,13,13,13,18,18,3.0
2015-10-6,4,4,4,19,19,3.0
2015-10-7,13,13,13,19,19,3.0
2015-10-8,4,4,4,17,17,3.0
2015-10-9,1,1,1,16,16,3.0
2015-10-10,1,1,1,13,13,4.5
2015-10-11,2,2,2,12,12,3.0
2015-10-12,2,2,2,12,12,3.0
2015-10-13,1,1,1,13,13,3.0
2015-10-14,1,1,1,14,14,3.0
2015-10-15,2,2,2,14,14,3.0
2015-10-16,2,2,2,14,14,3.0
2015-10-17,2,2,2,15,15,3.0
2015-10-18,2,2,2,15,15,3.0
2015-10-19,1,1,1,15,15,3.0
2015-10-20,3,3,3,17,17,3.0
2015-10-21,1,1,1,17,17,3.0
2015-10-22,1,1,1,17,25,3.0
2015-10-23,3,3,3,18,18,3.0
2015-10-24,1,1,1,18,18,3.0
2015-10-25,1,1,1,18,18,3.0
2015-10-26,13,13,13,19,19,3.5
2015-10-27,1,1,1,11,11,3.0
2015-10-28,13,13,13,15,15,3.0
2015-10-29,7,7,7,13,13,4.5
2015-10-30,3,3,3,12,12,3.5
2015-10-31,4,4,4,12,12,3.0
2015-11-1,3,3,3,9,9,3.0
2015-11-2,2,2,2,9,9,3.0
2015-11-3,3,3,3,13,13,3.0
2015-11-4,13,13,13,14,14,3.0
2015-11-5,1,1,1,18,18,3.0
2015-11-6,1,1,1,20,20,3.0
2015-11-7,13,13,13,14,14,3.0
2015-11-8,13,13,13,12,12,4.5
2015-11-9,3,3,3,8,8,3.0
2015-11-10,3,3,3,10,10,3.0
2015-11-11,3,3,3,13,13,3.0
2015-11-12,4,4,4,12,12,3.0
2015-11-13,3,3,3,13,13,3.0
2015-11-14,1,1,1,12,12,3.0
2015-11-15,13,13,13,15,15,3.0
2015-11-16,7,7,7,15,15,3.0
2015-11-17,7,7,7,14,14,3.0
2015-11-18,4,4,4,13,13,3.0
2015-11-19,3,3,3,13,13,3.0
2015-11-20,7,7,7,14,14,3.0
2015-11-21,4,4,4,14,14,3.0
2015-11-22,4,4,4,15,15,3.0
2015-11-23,4,4,4,13,13,3.5
2015-11-24,4,4,4,6,6,4.5
2015-11-25,1,1,1,3,3,4.5
2015-11-26,2,2,2,-2,-2,3.5
2015-11-27,1,1,1,3,3,3.0
2015-11-28,4,4,4,7,7,3.0
2015-11-29,1,1,1,7,7,3.0
2015-11-30,3,3,3,8,8,3.0
2015-12-1,4,4,4,10,10,3.5
2015-12-2,4,2.5,1,5,13,4.5
2015-12-3,2,2,2,3,3,4.5
2015-12-4,1,2.5,4,5,11,3.5
2015-12-5,18,18,18,1,1,3.0
2015-12-6,1,1,1,1,1,3.0
2015-12-7,2,2,2,5,5,3.0
2015-12-8,1,1,1,8,8,3.0
2015-12-9,4,4,4,11,11,3.0
2015-12-10,3,3,3,10,10,3.5
2015-12-11,3,3,3,5,5,3.0
2015-12-12,3,3,3,5,5,3.0
2015-12-13,4,4,4,7,7,3.0
2015-12-14,3,3.5,4,6,9,3.0
2015-12-15,22,22,22,2,2,3.5
2015-12-16,2,2,2,-1,-1,4.5
2015-12-17,2,2,2,-2,-2,3.0
2015-12-18,2,2,2,1,1,3.0
2015-12-19,3,3,3,6,6,3.0
2015-12-20,3,3,3,6,6,3.0
2015-12-21,3,3,3,6,6,3.0
2015-12-22,4,4,4,9,9,3.0
2015-12-23,4,4,4,9,9,3.0
2015-12-24,4,4,4,7,7,3.5
2015-12-25,1,1,1,3,3,3.0
2015-12-26,1,1,1,7,7,3.0
2015-12-27,3,3,3,5,5,3.5
2015-12-28,1,1,1,3,3,3.0
2015-12-29,2,2,2,3,3,3.0
2015-12-30,2,2,2,3,3,3.5
2015-12-31,2,2,2,3,3,3.0
